다|多
다사지편차지|多士之篇次之
다사천친척|多私薦親戚
다사총졸|多事怱卒
다사탐폭|多肆貪暴
다사호부거지|多徙豪富居之
다삭|多數
다삭기병토|多欲起兵討
다삭발위부도|多削髮爲浮屠
다삭자야|多欲者也
다삭즉사념|多欲則邪念
다삭즉사염|多欲則邪念
다삭즉장벌기심의|多欲則戕伐其心矣
다삭즉호동이무절|多欲則好動而無節
다삭칙사념|多欲則邪念
다삭칙사염|多欲則邪念
다삭칙장벌기심의|多欲則戕伐其心矣
다삭칙호동이무절|多欲則好動而無節
다산|多産
다산|茶山
다산석|多山石
다산언|多産焉
다살국사|多殺國士
다살기본군관개|多殺其本郡冠蓋
다살기분군관개|多殺其本郡冠蓋
다살도간장좌|多殺陶侃將佐
다살사졸|多殺士卒
다살수령이응지|多殺守令以應之
다살수영이응지|多殺守令以應之
다살자지|多殺次之
다살차지|多殺次之
다살충량|多殺忠良
다살충양|多殺忠良
다삼재상|多參在上
다상|多傷
다상고왈감|多嘗苦曰甘
다상난|多相亂
다상란|多相亂
다상막여|多傷莫與
다상맥여|多傷莫與
다상맹저|多相盟詛
다상모여|多傷莫與
다상설|多霜雪
다상솔귀특|多相帥歸特
다상수귀특|多相帥歸特
다생색|多生色
다생어부능절약|多生於不能節約
다생어부족|多生於不足
다생어부주|多生於不足
다생어불능절약|多生於不能節約
다생어불족|多生於不足
다생어불주|多生於不足
다생오부능절약|多生於不能節約
다생오부족|多生於不足
다생오부주|多生於不足
다생오불능절약|多生於不能節約
다생오불족|多生於不足
다생오불주|多生於不足
다생태만|多生怠慢
다서남녀지사|多序男女之事
다서남여지사|多序男女之事
다설간열지상자|多說姦淫之狀者
다설간열지장자|多說姦淫之狀者
다설간염지상자|多說姦淫之狀者
다설간염지장자|多說姦淫之狀者
다설간요지상자|多說姦淫之狀者
다설간요지장자|多說姦淫之狀者
다설간윤지상자|多說姦淫之狀者
다설간윤지장자|多說姦淫之狀者
다설간음지상자|多說姦淫之狀者
다설간음지장자|多說姦淫之狀者
다설공아조|多說供兒曹
다설국사|多殺國士
다설기본군관개|多殺其本郡冠蓋
