차|此
차거낙고탄보문무수명유칠연지세야|此據洛誥誕保文武受命惟七年之說也
차거낙고탄보문무수명유칠연지열야|此據洛誥誕保文武受命惟七年之說也
차거낙고탄보문무수명유칠연지탈야|此據洛誥誕保文武受命惟七年之說也
차거다자언지|此據多者言之
차거대부지년|此據代父之年
차거대부지연|此據代父之年
차거대자언이|此擧大者言耳
차거도지이|此居島之夷
차거락고탄보문무수명유칠년지설야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠년지세야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠년지열야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠년지탈야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠연지설야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠연지세야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠연지열야|此據洛誥誕保文武受命惟七年之說也
차거락고탄보문무수명유칠연지탈야|此據洛誥誕保文武受命惟七年之說也
차거림시행사야|此據臨時行事也
차거본기산능사지명|且據本紀山陵使之命
차거본기산릉사지명|且據本紀山陵使之命
차거부수천리|此去涪垂千里
차거부수천이|此去涪垂千里
차거분기산능사지명|且據本紀山陵使之命
차거분기산릉사지명|且據本紀山陵使之命
차거사체|此舉四體
차거소인|斥去小人
차거소조|且居劭朝
차거손황|此渠孫皇
차거이단언|且擧二端焉
차거이부의|且擧以不義
차거이불의|且擧以不義
차거이체|此擧二體
차거인주위문|此據人主爲文
차거임시행사야|此據臨時行事也
차거점전일사|且擧占田一事
차거정의소인|此據正義所引
차거주관직방씨|此據周官職方氏
차거주관직방정|此據周官職方氏
차거주관직방지|此據周官職方氏
차거지|且擧之
차거천지교합|此擧天地交合
차거학지사|且居學之士
차거후대지시인시위낙|此據後代之詩因詩爲樂
차거후대지시인시위락|此據後代之詩因詩爲樂
차거후대지시인시위악|此據後代之詩因詩爲樂
차거후대지시인시위요|此據後代之詩因詩爲樂
차건숙처간이간망|且蹇叔處干而干亡
차걸언언|且乞言焉
차검지리야|此劍之利也
차검지이야|此劍之利也
차겁능적이|此劫陵賊爾
차겁릉적이|此劫陵賊爾
차게간의대부서지자|且揭諫議大夫書之者
차격진살지|遮擊盡殺之
차격진설지|遮擊盡殺之
차격진쇄지|遮擊盡殺之
차격진시지|遮擊盡殺之
차견|差遣
차견군신근제후지좌|此見群臣覲諸侯之坐
차견기각야|次見其角也
차견기신지위|且見其身之危
차견기액|次見其額
차견대학|此見大學
차견대회서중|此見大會誓衆
차견미지정야|此見微之情也
차견부겸모이|且見父兼母耳
차견사구구어대|且遣使求救於代
차견사구구오대|且遣使求救於代
차견사권진어준|且遣使勸進於駿
차견사권진오준|且遣使勸進於駿
차견월령|此見月令
차견월영|此見月令
차견인신직분지난진|此見人臣職分之難盡
차견자|此見字
차견중용|此見中庸
차견지|斥遣之
차견진책삼국공진입함곡진왕위누완왈운운|此見秦策三國攻秦入函谷秦王謂樓緩曰云云
차견진책삼국공진입함곡진왕위루완왈운운|此見秦策三國攻秦入函谷秦王謂樓緩曰云云
차견천하지제후|次見天下之諸侯
차결상문|此結上文
차결상부밀실신지사|此結上不密失身之事
차결상불밀실신지사|此結上不密失身之事
차결성역지변화지도|此結成易之變化之道
차결성이지변화지도|此結成易之變化之道
차결성전장부능안신지사|此結成前章不能安身之事
차결성전장불능안신지사|此結成前章不能安身之事
차겸상하이언|且兼上下而言
차겸약공매|且兼弱攻昧
차겸이곡위륙부자|此兼以穀爲六府者
차겸이곡위육부자|此兼以穀爲六府者
차겹자|此䛟字
차경|次卿
차경|次慶
차경|此經
차경개상구책부인지범례|此經皆上句責夫人之犯禮
차경개상구책부인지범예|此經皆上句責夫人之犯禮
차경개서지사야|此經皆誓之辭也
차경개시거천자|此經皆是據天子
차경개시폭려견모만지사|此經皆是暴戾見侮慢之事
차경개시폭려현모만지사|此經皆是暴戾見侮慢之事
차경개시폭여견모만지사|此經皆是暴戾見侮慢之事
차경개시폭여현모만지사|此經皆是暴戾見侮慢之事
차경개원어수|此經開源於首
차경개원오수|此經開源於首
차경거곤지노음|此經據坤之老陰
차경거곤지로음|此經據坤之老陰
